Date,Holiday
"Sunday, 5th February 2023",Kashmir Day
"Thursday, 23rd March 2023",Pakistan Day
"Friday, 21st April 2023",Eid ul Fitr
"Monday, 24th April 2023",Eid ul Fitr
"Tuesday, 25th April 2023",Eid ul Fitr
"Monday, 1st May 2023",Labour Day
"Thursday, 29th June 2023(tentative)",Eid ul Adha
"Friday, 30th June 2023(tentative)",Eid ul Adha
"Saturday, 1st July 2023(tentative)",Eid ul Adha
"Friday, 28th July 2023",Ashura
"Saturday, 29th July 2023",Ashura
"Monday, 14th August 2023",Independence Day
"Wednesday, 27th September 2023",Eid Milad un Nabi
"Thursday, 9th November 2023",Iqbal Day